Datetime,Fan_Status,Humidity_Status,Light_Status,Moisture_Status0,Moisture_Status1,Moisture_Status2,Moisture_Status3,RoomTemp_Status,WG1_Set,WG2_Set
Wed Feb 23 03:03:26 2022,0,76.51,0,0.73,8.28,9.23,4.57,26.62,20,20
Wed Feb 23 03:04:26 2022,0,73.1,0,0.74,8.28,9.23,4.57,26.62,20,20
Wed Feb 23 03:05:26 2022,0,73.2,0,0.75,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 03:06:26 2022,0,76.58,0,0.74,8.28,9.22,4.56,26.63,20,20
Wed Feb 23 03:07:26 2022,0,76.57,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 03:08:26 2022,0,76.73,0,0.75,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 03:09:26 2022,0,76.53,0,0.75,8.28,9.22,4.57,26.69,20,20
Wed Feb 23 03:10:26 2022,0,76.56,0,0.74,8.28,9.23,4.57,26.68,20,20
Wed Feb 23 03:11:26 2022,0,76.54,0,0.74,8.29,9.23,4.57,26.66,20,20
Wed Feb 23 03:12:26 2022,0,66.22,0,0.73,8.28,9.22,4.56,26.67,20,20
Wed Feb 23 03:13:26 2022,0,76.59,0,0.74,8.28,9.22,4.58,26.65,20,20
Wed Feb 23 03:14:26 2022,0,73.8,0,1.74,8.28,9.23,4.57,26.66,20,20
Wed Feb 23 03:15:26 2022,0,74.18,0,0.75,8.27,9.21,4.57,26.68,20,20
Wed Feb 23 03:16:26 2022,0,76.76,0,0.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 03:17:26 2022,0,73.7,0,0.74,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 03:18:26 2022,0,76.58,0,0.74,8.27,9.23,4.57,26.63,20,20
Wed Feb 23 03:19:26 2022,0,73.15,0,1.75,8.28,9.23,4.57,26.62,20,20
Wed Feb 23 03:20:26 2022,0,66.26,0,0.74,8.28,9.21,4.56,26.65,20,20
Wed Feb 23 03:21:26 2022,0,76.97,0,0.75,8.28,9.23,4.57,26.63,20,20
Wed Feb 23 03:22:26 2022,0,76.52,0,0.75,8.27,9.21,4.56,26.64,20,20
Wed Feb 23 03:23:26 2022,0,76.52,0,1.75,8.28,9.22,4.57,26.68,20,20
Wed Feb 23 03:24:26 2022,0,76.65,0,1.75,8.27,9.22,4.56,26.65,20,20
Wed Feb 23 03:25:26 2022,0,76.6,0,1.74,8.28,9.23,4.57,26.71,20,20
Wed Feb 23 03:26:26 2022,0,76.65,0,1.74,8.28,9.21,4.57,26.7,20,20
Wed Feb 23 03:27:26 2022,0,77.3,0,1.74,8.27,9.23,4.58,26.71,20,20
Wed Feb 23 03:28:26 2022,0,76.51,0,1.73,8.28,9.23,4.57,26.71,20,20
Wed Feb 23 03:29:26 2022,0,73.9,0,0.73,8.28,9.23,4.57,26.7,20,20
Wed Feb 23 03:30:26 2022,0,76.56,0,0.73,8.28,9.23,4.57,26.68,20,20
Wed Feb 23 03:31:26 2022,0,76.51,0,0.74,8.27,9.23,4.57,26.67,20,20
Wed Feb 23 03:32:26 2022,0,73.9,0,0.72,8.28,9.23,4.57,26.68,20,20
Wed Feb 23 03:33:26 2022,0,76.53,0,0.74,8.28,9.22,4.57,26.69,20,20
Wed Feb 23 03:34:26 2022,0,76.63,0,0.73,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 03:35:26 2022,0,76.57,0,0.74,8.28,9.23,4.57,26.68,20,20
Wed Feb 23 03:36:26 2022,0,76.54,0,0.74,8.28,9.22,4.56,26.67,20,20
Wed Feb 23 03:37:26 2022,0,73.8,0,1.75,8.28,9.23,4.57,26.68,20,20
Wed Feb 23 03:38:26 2022,0,76.6,0,1.74,8.27,9.22,4.57,26.64,20,20
Wed Feb 23 03:39:26 2022,0,76.92,0,1.74,8.27,9.22,4.56,26.63,20,20
Wed Feb 23 03:40:26 2022,0,76.55,0,1.74,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 03:41:26 2022,0,73.3,0,1.75,8.29,9.22,4.56,26.64,20,20
Wed Feb 23 03:42:26 2022,0,76.62,0,1.75,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 03:43:26 2022,0,76.61,0,0.74,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 03:44:26 2022,0,76.56,0,0.75,8.28,9.21,4.56,26.6,20,20
Wed Feb 23 03:45:26 2022,0,66.81,0,1.73,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 03:46:26 2022,0,76.83,0,0.74,7.28,9.22,4.58,26.62,20,20
Wed Feb 23 03:47:26 2022,0,73.6,0,0.75,8.28,9.21,4.56,26.64,20,20
Wed Feb 23 03:48:26 2022,0,76.85,0,1.74,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 03:49:26 2022,0,77.0,0,0.75,8.27,9.22,4.57,26.67,20,20
Wed Feb 23 03:50:26 2022,0,73.8,0,0.73,8.29,9.23,4.57,26.73,20,20
Wed Feb 23 03:51:26 2022,0,73.9,0,0.74,8.27,9.23,4.58,26.69,20,20
Wed Feb 23 03:52:26 2022,0,76.51,0,0.73,8.27,9.23,4.57,26.69,20,20
Wed Feb 23 03:53:26 2022,0,73.8,0,0.75,8.28,9.23,4.58,26.65,20,20
Wed Feb 23 03:54:26 2022,0,77.28,0,0.74,8.27,9.23,4.58,26.66,20,20
Wed Feb 23 03:55:26 2022,0,73.91,0,0.75,8.28,9.23,4.58,26.65,20,20
Wed Feb 23 03:56:26 2022,0,76.6,0,0.74,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 03:57:26 2022,0,76.56,0,0.74,8.28,9.22,4.56,26.65,20,20
Wed Feb 23 03:58:26 2022,0,76.51,0,1.74,8.28,9.21,4.56,26.63,20,20
Wed Feb 23 03:59:26 2022,0,76.57,0,0.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 04:00:26 2022,0,76.77,0,1.74,8.27,9.22,4.57,26.65,20,20
Wed Feb 23 04:01:26 2022,0,76.53,0,1.75,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 04:02:26 2022,0,73.18,0,1.75,8.28,9.23,4.57,26.64,20,20
Wed Feb 23 04:03:26 2022,0,73.2,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 04:04:26 2022,0,76.54,0,1.74,8.27,9.21,4.57,26.62,20,20
Wed Feb 23 04:05:26 2022,0,76.86,0,1.75,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 04:06:26 2022,0,76.63,0,0.74,8.28,9.22,4.58,26.64,20,20
Wed Feb 23 04:07:26 2022,0,73.1,0,0.74,8.28,9.23,4.58,26.69,20,20
Wed Feb 23 04:08:26 2022,0,73.9,0,0.74,8.28,9.22,4.58,26.67,20,20
Wed Feb 23 04:09:26 2022,0,73.9,0,0.75,8.27,9.23,4.57,26.67,20,20
Wed Feb 23 04:10:26 2022,0,77.24,0,1.74,8.27,9.23,4.58,26.66,20,20
Wed Feb 23 04:11:26 2022,0,76.62,0,0.74,8.27,9.22,4.58,26.65,20,20
Wed Feb 23 04:12:26 2022,0,76.55,0,0.73,8.27,9.22,4.57,26.65,20,20
Wed Feb 23 04:13:26 2022,0,76.52,0,1.75,8.28,9.21,4.57,26.65,20,20
Wed Feb 23 04:14:26 2022,0,75.65,0,1.74,8.28,9.22,4.58,26.65,20,20
Wed Feb 23 04:15:26 2022,0,73.6,0,0.75,8.27,9.23,4.57,26.63,20,20
Wed Feb 23 04:16:26 2022,0,74.7,0,1.75,8.27,9.23,4.57,26.64,20,20
Wed Feb 23 04:17:26 2022,0,76.54,0,1.74,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 04:18:26 2022,0,76.51,0,1.75,7.28,9.23,4.58,26.66,20,20
Wed Feb 23 04:19:26 2022,0,76.96,0,0.74,8.27,9.22,4.57,26.63,20,20
Wed Feb 23 04:20:26 2022,0,76.51,0,1.74,8.28,9.22,4.56,26.63,20,20
Wed Feb 23 04:21:26 2022,0,76.57,0,1.74,8.28,9.21,4.56,26.63,20,20
Wed Feb 23 04:22:26 2022,0,73.3,0,0.75,8.27,9.22,4.56,26.64,20,20
Wed Feb 23 04:23:26 2022,0,76.51,0,1.74,8.28,9.23,4.57,26.64,20,20
Wed Feb 23 04:24:26 2022,0,76.49,0,0.74,8.28,9.22,4.57,26.69,20,20
Wed Feb 23 04:25:26 2022,0,76.6,0,0.74,8.28,9.22,4.56,26.68,20,20
Wed Feb 23 04:26:26 2022,0,76.76,0,0.74,8.28,9.22,4.57,26.68,20,20
Wed Feb 23 04:27:26 2022,0,76.88,0,0.74,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 04:28:26 2022,0,76.62,0,0.74,8.28,9.23,4.57,26.67,20,20
Wed Feb 23 04:29:26 2022,0,73.9,0,0.74,8.28,9.23,4.57,26.63,20,20
Wed Feb 23 04:30:26 2022,0,73.9,0,0.74,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 04:31:26 2022,0,76.54,0,0.75,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 04:32:26 2022,0,76.61,0,1.74,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 04:33:26 2022,0,76.91,0,1.75,8.27,9.22,4.56,26.64,20,20
Wed Feb 23 04:34:26 2022,0,76.62,0,1.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 04:35:26 2022,0,66.26,0,1.75,8.27,9.22,4.57,26.62,20,20
Wed Feb 23 04:36:26 2022,0,76.64,0,1.74,7.29,9.22,4.58,26.62,20,20
Wed Feb 23 04:37:26 2022,0,73.1,0,0.75,8.27,9.22,4.56,26.62,20,20
Wed Feb 23 04:38:26 2022,0,76.6,0,1.75,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 04:39:26 2022,0,76.59,0,0.74,8.28,9.23,4.57,26.63,20,20
Wed Feb 23 04:40:26 2022,0,73.19,0,1.74,8.27,9.23,4.56,26.65,20,20
Wed Feb 23 04:41:26 2022,0,76.6,0,1.74,8.28,9.22,4.57,26.69,20,20
Wed Feb 23 04:42:26 2022,0,76.5,0,0.74,8.28,9.22,4.57,26.73,20,20
Wed Feb 23 04:43:26 2022,0,76.61,0,0.74,8.27,9.23,4.58,26.71,20,20
Wed Feb 23 04:44:26 2022,0,76.77,0,0.73,7.29,9.22,4.57,26.68,20,20
Wed Feb 23 04:45:26 2022,0,76.7,0,0.75,8.28,9.23,4.58,26.67,20,20
Wed Feb 23 04:46:26 2022,0,66.78,0,1.75,8.28,9.22,4.57,26.7,20,20
Wed Feb 23 04:47:26 2022,0,76.58,0,0.74,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 04:48:26 2022,0,76.69,0,0.73,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 04:49:26 2022,0,76.52,0,0.74,8.28,9.23,4.57,26.66,20,20
Wed Feb 23 04:50:26 2022,0,76.51,0,0.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 04:51:26 2022,0,76.7,0,1.74,8.27,9.22,4.57,26.66,20,20
Wed Feb 23 04:52:26 2022,0,73.43,0,0.73,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 04:53:26 2022,0,76.6,0,1.75,8.27,9.22,4.57,26.65,20,20
Wed Feb 23 04:54:26 2022,0,76.69,0,1.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 04:55:26 2022,0,73.8,0,1.75,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 04:56:26 2022,0,73.9,0,0.75,8.29,9.21,4.56,26.63,20,20
Wed Feb 23 04:57:26 2022,0,76.51,0,0.75,8.28,9.22,4.56,26.63,20,20
Wed Feb 23 04:58:26 2022,0,77.16,0,0.75,8.28,9.21,4.57,26.62,20,20
Wed Feb 23 04:59:26 2022,0,76.6,0,1.75,8.28,9.22,4.57,26.68,20,20
Wed Feb 23 05:00:26 2022,0,76.96,0,0.71,8.27,9.21,4.57,26.7,20,20
Wed Feb 23 05:01:26 2022,0,76.59,0,0.72,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 05:02:26 2022,0,66.82,0,1.73,8.28,9.22,4.58,26.67,20,20
Wed Feb 23 05:03:26 2022,0,77.9,0,0.75,8.27,9.22,4.58,26.66,20,20
Wed Feb 23 05:04:26 2022,0,76.77,0,0.75,8.28,9.23,4.58,26.64,20,20
Wed Feb 23 05:05:26 2022,0,66.19,0,0.74,7.29,9.22,4.57,26.64,20,20
Wed Feb 23 05:06:26 2022,0,76.51,0,0.75,8.28,9.23,4.57,26.65,20,20
Wed Feb 23 05:07:26 2022,0,73.78,0,0.74,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 05:08:26 2022,0,76.59,0,1.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 05:09:26 2022,0,77.5,0,1.75,8.28,9.23,4.57,26.63,20,20
Wed Feb 23 05:10:26 2022,0,76.61,0,1.76,8.28,9.22,4.56,26.62,20,20
Wed Feb 23 05:11:26 2022,0,73.3,0,0.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:12:26 2022,0,76.79,0,1.75,8.28,9.21,4.56,26.63,20,20
Wed Feb 23 05:13:26 2022,0,76.85,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 05:14:26 2022,0,76.56,0,0.73,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 05:15:26 2022,0,73.9,0,0.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:16:26 2022,0,76.57,0,0.73,8.28,9.22,4.57,26.68,20,20
Wed Feb 23 05:17:26 2022,0,73.41,0,0.75,8.27,9.23,4.58,26.68,20,20
Wed Feb 23 05:18:26 2022,0,76.65,0,0.75,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 05:19:26 2022,0,76.6,0,1.74,8.28,9.22,4.57,26.68,20,20
Wed Feb 23 05:20:26 2022,0,76.58,0,1.73,8.28,9.22,4.57,26.68,20,20
Wed Feb 23 05:21:26 2022,0,73.7,0,1.74,8.29,9.22,4.56,26.69,20,20
Wed Feb 23 05:22:26 2022,0,76.62,0,0.74,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:23:26 2022,0,76.54,0,0.73,8.28,9.21,4.57,26.66,20,20
Wed Feb 23 05:24:26 2022,0,76.6,0,1.73,8.28,9.21,4.56,26.66,20,20
Wed Feb 23 05:25:26 2022,0,76.61,0,1.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:26:26 2022,0,76.6,0,1.75,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 05:27:26 2022,0,76.64,0,1.74,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 05:28:26 2022,0,76.59,0,1.75,8.28,9.22,4.56,26.62,20,20
Wed Feb 23 05:29:26 2022,0,73.14,0,1.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:30:26 2022,0,73.5,0,0.76,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 05:31:26 2022,0,73.9,0,0.75,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 05:32:26 2022,0,74.3,0,1.74,8.28,9.21,4.57,26.62,20,20
Wed Feb 23 05:33:26 2022,0,76.61,0,0.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 05:34:26 2022,0,73.8,0,0.75,8.29,9.21,4.57,26.64,20,20
Wed Feb 23 05:35:26 2022,0,73.9,0,0.75,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 05:36:26 2022,0,73.7,0,0.75,8.28,9.22,4.58,26.7,20,20
Wed Feb 23 05:37:26 2022,0,74.81,0,1.74,8.27,9.22,4.58,26.66,20,20
Wed Feb 23 05:38:26 2022,0,76.64,0,0.73,8.27,9.23,4.58,26.64,20,20
Wed Feb 23 05:39:26 2022,0,76.65,0,1.74,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 05:40:26 2022,0,76.56,0,0.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:41:26 2022,0,73.5,0,1.74,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 05:42:26 2022,0,74.16,0,0.75,8.27,9.21,4.57,26.64,20,20
Wed Feb 23 05:43:26 2022,0,76.59,0,0.75,8.29,9.22,4.56,26.62,20,20
Wed Feb 23 05:44:26 2022,0,76.54,0,1.75,8.27,9.22,4.57,26.64,20,20
Wed Feb 23 05:45:26 2022,0,73.14,0,0.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 05:46:26 2022,0,76.57,0,1.75,8.28,9.2,4.57,26.61,20,20
Wed Feb 23 05:47:26 2022,0,73.43,0,0.74,8.29,9.22,4.57,26.63,20,20
Wed Feb 23 05:48:26 2022,0,76.62,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 05:49:26 2022,0,76.65,0,1.75,8.28,9.22,4.56,26.61,20,20
Wed Feb 23 05:50:26 2022,0,73.4,0,1.75,8.28,9.22,4.56,26.61,20,20
Wed Feb 23 05:51:26 2022,0,73.8,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 05:52:26 2022,0,73.8,0,1.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 05:53:26 2022,0,76.59,0,0.75,8.28,9.22,4.57,26.67,20,20
