Datetime,Fan_Status,Humidity_Status,Light_Status,Moisture_Status0,Moisture_Status1,Moisture_Status2,Moisture_Status3,RoomTemp_Status,WG1_Set,WG2_Set
Tue Feb 22 02:38:01 2022,0.0,76.67,0.0,0.71,7.3,9.25,4.6,27.94,20.0,20.0
Tue Feb 22 02:39:01 2022,0.0,73.8,0.0,0.68,7.27,9.25,4.61,28.0,20.0,20.0
Tue Feb 22 02:40:01 2022,0.0,73.15,0.0,0.65,7.28,9.25,4.61,28.3,20.0,20.0
Tue Feb 22 02:41:01 2022,1.0,76.63,0.0,0.66,7.27,9.25,4.61,27.99,20.0,20.0
Tue Feb 22 02:42:01 2022,1.0,76.59,0.0,0.66,7.28,9.25,4.61,28.1,20.0,20.0
Tue Feb 22 02:43:01 2022,0.0,73.6,0.0,0.69,7.28,9.25,4.61,28.4,45.0,45.0
Tue Feb 22 02:44:01 2022,0.0,76.56,0.0,0.69,7.29,9.25,4.61,28.3,45.0,45.0
Tue Feb 22 02:45:01 2022,0.0,76.52,0.0,0.66,7.3,9.25,4.61,28.0,45.0,45.0
Tue Feb 22 02:46:01 2022,0.0,76.57,0.0,0.65,7.28,9.25,4.61,28.3,45.0,45.0
Tue Feb 22 02:47:01 2022,0.0,76.65,0.0,0.68,7.29,9.25,4.61,28.3,45.0,45.0
Tue Feb 22 02:48:01 2022,0.0,77.8,0.0,0.67,7.29,9.25,4.6,27.99,45.0,45.0
Tue Feb 22 02:49:01 2022,1.0,73.9,1.0,0.67,7.27,9.25,4.6,27.98,45.0,45.0
Tue Feb 22 02:50:01 2022,1.0,76.6,1.0,0.68,7.29,9.25,4.6,27.93,45.0,45.0
Tue Feb 22 02:51:01 2022,1.0,76.65,1.0,0.67,7.28,9.25,4.61,27.92,45.0,45.0
Tue Feb 22 02:52:01 2022,1.0,76.55,1.0,0.7,7.31,9.25,4.61,27.99,45.0,45.0
Tue Feb 22 02:53:01 2022,1.0,76.65,1.0,0.68,7.31,9.25,4.6,27.9,45.0,45.0
Tue Feb 22 02:54:01 2022,1.0,76.6,1.0,0.68,7.28,9.26,4.6,27.87,45.0,45.0
Tue Feb 22 02:55:01 2022,1.0,76.58,1.0,0.69,7.26,9.25,4.6,27.98,45.0,45.0
Tue Feb 22 02:56:01 2022,1.0,73.15,1.0,0.66,7.28,9.25,4.61,27.84,45.0,45.0
Tue Feb 22 02:57:01 2022,1.0,76.66,1.0,0.7,7.27,9.25,4.61,27.92,45.0,45.0
